Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
9532,"Ender's Shadow (The Shadow Series, #1)",Orson Scott Card,"Card, Orson Scott",,0765342405,9780765342409,0,4.29,Starscape,Paperback,469,2002,1999,,7/27/19,,,read,,,,1,,,0,,,,,
54388921,The Everything Store: Jeff Bezos and the Age of Amazon,Brad Stone,"Stone, Brad",,,,0,4.12,"Little, Brown and Company",Kindle Edition,386,,2013,11/8/20,10/27/20,,,read,,,,1,,,0,,,,,
43982768,The New Class War: Saving Democracy from the Managerial Elite,Michael Lind,"Lind, Michael",,0593083695,9780593083697,0,3.74,Portfolio,Hardcover,224,2020,2017,,11/27/20,to-read,to-read (#65),to-read,,,,0,,,0,,,,,
475,Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,"Diamond, Jared",,0143036556,9780143036555,4,3.91,Penguin Books Ltd. (London),Paperback,608,2005,2005,,11/22/18,,,read,,,,1,,,0,,,,,
36204378,The Book of Why: The New Science of Cause and Effect,Judea Pearl,"Pearl, Judea",Dana Mackenzie,046509760X,9780465097609,0,3.95,Basic Books,Hardcover,432,2018,2018,,11/22/18,,,read,,,,1,,,0,,,,,
5617966,A Guide to the Good Life: The Ancient Art of Stoic Joy,William B. Irvine,"Irvine, William B.",,0195374614,9780195374612,0,4.18,Oxford University Press,Hardcover,326,2008,2008,,4/19/20,to-read,to-read (#51),to-read,,,,0,,,0,,,,,
19823829,Waking Up: A Guide to Spirituality Without Religion,Sam Harris,"Harris, Sam",,,,0,3.9,Simon & Schuster,Kindle Edition,257,2014,2014,10/26/20,9/8/20,,,read,,,,1,,,0,,,,,
12651,The Social Contract,Jean-Jacques Rousseau,"Rousseau, Jean-Jacques",Maurice Cranston,0143037498,9780143037491,0,3.78,Penguin,Paperback,168,2006,1762,,7/28/20,,,read,,,,1,,,0,,,,,
40961427,1984,George Orwell,"Orwell, George",,,,0,4.19,Houghton Mifflin Harcourt,Kindle Edition,237,2013,1949,,7/27/19,,,read,,,,1,,,0,,,,,
11797471,The Idea Factory: Bell Labs and the Great Age of American Innovation,Jon Gertner,"Gertner, Jon",,1594203288,9781594203282,0,4.16,Penguin Press,Hardcover,432,2012,2012,,1/2/19,to-read,to-read (#17),to-read,,,,0,,,0,,,,,
49654089,"Python Machine Learning: Machine Learning and Deep Learning with Python, scikit-learn, and TensorFlow 2, 3rd Edition",Sebastian Raschka,"Raschka, Sebastian",Vahid Mirjalili,,,0,4.25,Packt Publishing,Kindle Edition,770,2019,2015,1/1/19,5/8/20,,,read,,,,1,,,0,,,,,
39644171,How History Gets Things Wrong: The Neuroscience of Our Addiction to Stories,Alex Rosenberg,"Rosenberg, Alex",,0262038579,9780262038577,0,3.36,The MIT Press,Hardcover,296,2018,,,7/5/19,to-read,to-read (#44),to-read,,,,0,,,0,,,,,
44083621,Invisible Women: Data Bias in a World Designed for Men,Caroline Criado Pérez,"Pérez, Caroline Criado",,,,0,4.4,Abrams Press,Kindle Edition,432,2019,2019,9/22/20,4/17/20,,,read,,,,1,,,0,,,,,
6480781,Open,Andre Agassi,"Agassi, Andre",J.R. Moehringer,0307268195,9780307268198,0,4.24,Knopf,Hardcover,388,2009,2009,,7/3/19,,,read,,,,1,,,0,,,,,
39088592,The Model Thinker: What You Need to Know to Make Data Work for You,Scott E. Page,"Page, Scott E.",,0465094627,9780465094622,0,3.92,Basic Books,Hardcover,448,2018,2018,,2/13/19,to-read,to-read (#22),to-read,,,,0,,,0,,,,,
36197082,Cryptoassets: The Innovative Investor's Guide to Bitcoin and Beyond,Chris Burniske,"Burniske, Chris",Jack Tatar,,,0,3.97,McGraw-Hill Education,Kindle Edition,369,2017,2017,10/17/19,9/2/19,,,read,,,,1,,,0,,,,,
29780253,Born a Crime: Stories From a South African Childhood,Trevor Noah,"Noah, Trevor",,0385689225,9780385689229,0,4.46,Doubleday Canada,Hardcover,289,2016,2016,,11/22/18,,,read,,,,1,,,0,,,,,
18626849,Stories of Your Life and Others,Ted Chiang,"Chiang, Ted",,,,5,4.22,Vintage,Kindle Edition,285,2010,2002,11/25/20,11/22/20,,,read,,,,1,,,0,,,,,
26593431,The New Confessions of an Economic Hit Man,John Perkins,"Perkins, John",,1626566747,9781626566743,0,3.94,Berrett-Koehler Publishers,Paperback,384,2016,2016,12/18/19,6/4/19,,,read,,,,1,,,0,,,,,
57981,The End of History and the Last Man,Francis Fukuyama,"Fukuyama, Francis",,0743284550,9780743284554,0,3.56,Free Press,Paperback,464,2006,1992,12/18/19,4/17/19,,,read,,,,2,,,0,,,,,
296662,Lies My Teacher Told Me: Everything Your American History Textbook Got Wrong,James W. Loewen,"Loewen, James W.",,0684818868,9780684818863,5,3.93,Touchstone Books,Paperback,383,1996,1995,,11/22/18,,,read,,,,1,,,0,,,,,
